BestTaxon,Class,MFU-FHL001_MFU,MFU-FHL002_MFU,MFU-FHL003_MFU,MFU-FHL004_MFU,MFU-FHL005_MFU,MFU-FHL006_MFU,MFU-FHL008_MFU,MFU-FHL009_MFU,MFU-FHL010_MFU,MFU-FHL011_MFU,MFU-FHL012_MFU,MFU-FHL013_MFU,MFU-FHL015_MFU,MFU-FHL016_MFU,MFU-FHL017_MFU,MFU-FHL018_MFU,MFU-FHL019_MFU,MFU-FHL020_MFU,MFU-FHL022_MFU,MFU-FHL023_MFU,MFU-FHL024_MFU,MFU-FHL025_MFU,MFU-FHL026_MFU,MFU-FHL027_MFU,MFU-FHL029_MFU,MFU-FHL030_MFU,MFU-FHL031_MFU,MFU-FHL032_MFU,MFU-FHL033_MFU,MFU-FHL034_MFU,MFU-FHL037_MFU,MFU-FHL038_MFU,MFU-FHL039_MFU,MFU-FHL040_MFU,MFU-FHL041_MFU,MFU-FHL042_MFU,MFU-FHL043_MFU,MFU-FHL044_MFU,MFU-FHL045_MFU,MFU-FHL047_MFU,MFU-FHL048_MFU,MFU-FHL049_MFU,MFU-FHL051_MFU,MFU-FHL052_MFU,MFU-FHL053_MFU,MFU-FHL054_MFU,MFU-FHL055_MFU,MFU-FHL056_MFU,MFU-FHL058_MFU,MFU-FHL059_MFU,MFU-FHL060_MFU,MFU-FHL061_MFU,MFU-FHL062_MFU,MFU-FHL063_MFU,MFU-FHL065_MFU,MFU-FHL066_MFU,MFU-FHL067_MFU,MFU-FHL068_MFU,MFU-FHL069_MFU,MFU-FHL070_MFU,MFU-FHL072_MFU,MFU-FHL073_MFU,MFU-FHL074_MFU,MFU-FHL075_MFU,MFU-FHL076_MFU,MFU-FHL077_MFU,MFU-FHL079_MFU,MFU-FHL080_MFU,MFU-FHL081_MFU,MFU-FHL082_MFU,MFU-FHL083_MFU,MFU-FHL084_MFU,MFU-FHL085_MFU,MFU-FHL086_MFU,MFU-FHL087_MFU,MFU-FHL088_MFU,MFU-FHL089_MFU,MFU-FHL092_MFU,MFU-FHL093_MFU
Ascelichthys rhodorus,Actinopteri,0,0,0,0,89,0,0,0,0,0,0,0,159,0,0,0,0,132,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,205,74,0,0,0,0,136,0,42,0,0,73,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aulorhynchus flavidus,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,119,0,0,0,0,0,0,0,0,161,0,69,0,0,0,0,0,0,0,0,0,11,0,0,0,93,0,137,0,0,0,77,0,0,0,0,0,0,139,0,365,50,567,0,0,200,0,91,0,0,0,0,0,0,0,0,0,0,0,0,69,0
Blepsias cirrhosus,Actinopteri,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,208,0,0,30,0,0,0,0,39,126,175,100,7,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,104,0,448,0,0,0,0,0,0,98,0,0
Citharichthys sordidus,Actinopteri,0,0,0,0,0,0,0,0,150,100,165,157,0,0,0,0,113,154,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,88,0,0,0,0,0,0,0,23,575,0,214,0,0,0,0,140,0,0,0,177,19,171,0,175,0,0,0,0,150,0,0,0,0,0,325,0,0,0,72
Citharichthys stigmaeus,Actinopteri,168,53,4,0,0,108,262,11,0,639,783,269,0,100,358,0,51,0,134,0,344,0,0,84,89,0,354,71,0,110,0,0,91,297,175,0,0,0,0,0,0,75,180,191,0,460,0,19,0,0,0,0,0,101,127,341,0,282,0,0,169,1589,123,0,113,370,7,1876,543,0,0,0,0,0,0,0,0,50,113
Clupea pallasii,Actinopteri,8670,4399,809,9996,10554,8892,4647,1679,11045,11466,13393,7237,7601,5381,14209,9586,5346,7097,12018,11844,11311,14909,10185,13493,5390,5026,23598,7730,18848,21029,36399,5258,5933,5337,9040,6465,8852,7879,1497,8806,12179,14281,15040,20791,14494,18988,6242,4451,8494,12176,10176,9671,6619,12274,22744,23637,18872,15064,23852,20046,10164,20042,21829,13980,10980,11236,676,4989,8655,7260,2082,2899,8299,22201,17213,17342,23490,22305,2162
Cryptacanthodes giganteus,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0
Cryptacanthodes maculatus,Actinopteri,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Engraulis mordax,Actinopteri,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enophrys bison,Actinopteri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,46,0,0,0,39,0,0,0,0,0,0,51,0,0,105,18,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
