Sample_name,Label,Hash,nReads
MV1-FHL051_MV1,MV1,6dfe5c7401fdeb72b7f4184fe3552b5dc298d90a,6
MV1-FHL045_MV1,MV1,6dfe5c7401fdeb72b7f4184fe3552b5dc298d90a,7
MV1-FHL095_MV1,MV1,38c84b08c1d469af21b3669e7957664de93ec583,51
MV1-FHL043_MV1,MV1,38c84b08c1d469af21b3669e7957664de93ec583,3
MV1-FHL073_MV1,MV1,38c84b08c1d469af21b3669e7957664de93ec583,3
MV1-FHL065_MV1,MV1,38c84b08c1d469af21b3669e7957664de93ec583,12
MV1-FHL077_MV1,MV1,38c84b08c1d469af21b3669e7957664de93ec583,27
MV1-FHL083_MV1,MV1,38c84b08c1d469af21b3669e7957664de93ec583,5
MV1-FHL059_MV1,MV1,38c84b08c1d469af21b3669e7957664de93ec583,17
MV1-FHL082_MV1,MV1,e54c6b074207d552a937d2a972518240ada552c5,4
MV1-FHL002_MV1,MV1,abc2f78f54845922f986e4c95cbf9834d8878a3e,78
MV1-FHL069_MV1,MV1,9927dc82d25328748bb1f406a49bb71a4574529e,17
MV1-FHL085_MV1,MV1,0e81b89cfe44e61ed9457f388caa9e7c7b7e2485,3
MV1-FHL047_MV1,MV1,0e81b89cfe44e61ed9457f388caa9e7c7b7e2485,4
MV1-FHL059_MV1,MV1,0e81b89cfe44e61ed9457f388caa9e7c7b7e2485,6
MV1-FHL003_MV1,MV1,86267a4ed9da954af3e332ca8aeff0eec9683222,16
MV1-FHL045_MV1,MV1,90bd73f48db2f41864a40c851f9d9b45c7031460,4
MV1-FHL077_MV1,MV1,b6cf532bfbeaaf18a7dd4db32ea31ec66addaa1b,15
MV1-FHL047_MV1,MV1,efddb981568e7fa05d8320f60f509ff46629e01e,17
MV1-FHL005_MV1,MV1,cc125dd7480587fb44a0025019bc56b116c59f60,3
MV1-FHL015_MV1,MV1,a48c0e1a0442f312108691e2cc6f361388e76670,4
MV1-FHL016_MV1,MV1,9fbf531b82ba834f280817294aab4d36a013bffb,26
MV1-FHL045_MV1,MV1,a86cb6792c5f6a65c159ea52d9ee35c5a532295d,4
MV1-FHL026_MV1,MV1,a86cb6792c5f6a65c159ea52d9ee35c5a532295d,2
MV1-FHL013_MV1,MV1,78abe4fdb530f71f1873f74382b8cf55f3b0adaa,13
MV1-FHL016_MV1,MV1,6619ea483eb9de310682dad551d742f4ac80b939,2
MV1-FHL070_MV1,MV1,3493ae9596b3664a93fa4f0ed12f0672d057cdba,26
MV1-FHL013_MV1,MV1,97a65c145fcb4aaf4e7869686fa2338c5f0fd848,39
MV1-FHL077_MV1,MV1,fa81d83cd1324423bd8381a1371f6f3e66757146,7
MV1-FHL003_MV1,MV1,007432d1b6005bc93f0908de4fbfb439fefcbeaf,78
MV1-FHL070_MV1,MV1,64ffdeb93121352ffc75714ff26cba3002c709a3,51
MV1-FHL085_MV1,MV1,f253031f03e5c9cc765aad3bb59a5acd149e1efb,2
MV1-FHL045_MV1,MV1,1e4398e5fd194cc620393e6b62ef89a33765b388,8
MV1-FHL073_MV1,MV1,9b9343dae30d6d39612cdabc3cbb49d6591cccf8,97
MV1-FHL024_MV1,MV1,cea31cbfceeaf2f669ddc197b013a6ae8503d829,5
MV1-FHL065_MV1,MV1,75339f9cab9b048bbca138fa87957c86563a75e1,24
MV1-FHL039_MV1,MV1,16150ff4caf85a0bd4530e910bc9744ed428b909,2
MV1-FHL001_MV1,MV1,16150ff4caf85a0bd4530e910bc9744ed428b909,22
MV1-FHL026_MV1,MV1,eb1e18769856031f1eae2f885ef595ae42b7f1af,5
MV1-FHL016_MV1,MV1,609520d937b4c8704395c97e9309f561ce20fda6,2
MV1-FHL023_MV1,MV1,61151cbc9452e7583f2cf617ef61ff1620078082,84
MV1-FHL013_MV1,MV1,a4d5907cd35307c07351b49b02f39813314e7088,14
MV1-FHL084_MV1,MV1,41a8fd35e0db39ddec03034624e4009cdc3cd539,45
MV1-FHL070_MV1,MV1,8906d7feaf97a79b16b60fb683d66a9ba7efb5ce,318
MV1-FHL013_MV1,MV1,ccbca928453821187da43bb9306d85863bcdb5d1,5
MV1-FHL010_MV1,MV1,aa30753a3d116098bf97bc14a16b9622077dd325,23
MV1-FHL070_MV1,MV1,105049ed4ab25790fca59c3fb959b29a4d7256b3,9
MV1-FHL016_MV1,MV1,4f9cbb5137c50465f262d8bb96696bd067fb275b,13
MV1-FHL010_MV1,MV1,12ef638fc53ded9c8b4a9abec887d02eb3c5f20b,7
MV1-FHL026_MV1,MV1,114fad5bc94560734b7699c2391a669b70b67373,3
MV1-FHL026_MV1,MV1,961c40a7b6158116bbdfa0db2827a03b3144cbdd,128
MV1-FHL023_MV1,MV1,e520139685f5d4414c7c190e6d86e011e17b44b0,223
MV1-FHL013_MV1,MV1,fca2b0b278ed657c4461d5bee2f4da4c14861741,2
MV1-FHL044_MV1,MV1,154a641456da4a4ffcb576f0dce989e419d37144,306
MV1-FHL003_MV1,MV1,a7c292b3f517f9af320a1185ebfe00be86eb7a16,8
MV1-FHL006_MV1,MV1,e2185c57ab3fb6caab383e349e620ea786bd7cd7,31
MV1-FHL026_MV1,MV1,787e623730c85aca5617f6f69225973c95405a0a,2
MV1-FHL077_MV1,MV1,ce6a0c24edf4865e66ec7490b15eafbfc4cbe026,29
MV1-FHL022_MV1,MV1,019a98bd2adf6aebbdefc1c51af47a2e87106805,13
MV1-FHL077_MV1,MV1,ee7d2f90db078a29f2e471408a6edf8ea71773b7,4
MV1-FHL015_MV1,MV1,095316b3078245f1149f942d70ad84fe4fc579d1,27
MV1-FHL013_MV1,MV1,dc74c0d3e9433555f8177f74caf1dcb5b57d2550,2
MV1-FHL016_MV1,MV1,218fc6bb2d9664e34781e062ebb1fe1c6764de8d,6
MV1-FHL018_MV1,MV1,c824f8c961756261b8aea2843a57180f12f3a374,16
MV1-FHL077_MV1,MV1,c824f8c961756261b8aea2843a57180f12f3a374,12
MV1-FHL093_MV1,MV1,dab76f72cecddfbeb676d33bb3eeaf962ae54bdf,34
MV1-FHL045_MV1,MV1,c4987c1a19450ff9a852c6d3610b648c8e75de69,15
MV1-FHL015_MV1,MV1,cce2fe768fb597fa7d2e2802c5d67d3e2125397e,6
MV1-FHL017_MV1,MV1,8a8b8f9c96e1da87f4941a46a160cb9412d3d25f,19
MV1-FHL077_MV1,MV1,5358e78f12ff3c7a0958b3239e17f0a5d2d5ae97,6
MV1-FHL043_MV1,MV1,6ce41bec286c3ae944fdd781b2daaa13a51c1897,172
MV1-FHL009_MV1,MV1,c1b2bc5a4603c6dca7e0288ec1bc7b89aa5b1a2b,23
MV1-FHL013_MV1,MV1,686a53a8138a8103e9ac20ba066128dc67363937,2
MV1-FHL005_MV1,MV1,6a45f65dda488dcbade13144204dd4f9db24e147,4
MV1-FHL041_MV1,MV1,e3771a00789e29af5abf05e44604bb14598acc5c,46
MV1-FHL016_MV1,MV1,944ae948a22f04410a89c101ab06c7c5e073b5ed,27
